Age,Gender,self_employed,family_history,treatment,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,year,work_treatment_interfere,work_no_treatment_interfere,Continent
37,f,No,No,1,6-25,Never,1.0,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,0.0,2014,Often,Often,North America
44,m,No,No,0,More than 1000,Never,0.0,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,0.0,2014,Rarely,Rarely,North America
32,m,No,No,0,6-25,Never,1.0,No,No,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,0.0,2014,Rarely,Rarely,North America
31,m,No,Yes,1,26-100,Never,1.0,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,1.0,2014,Often,Often,Europe
31,m,No,No,0,100-500,Sometimes,1.0,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,0.0,2014,Never,Never,North America
33,m,No,Yes,0,6-25,Never,1.0,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,0.0,2014,Sometimes,Sometimes,North America
35,f,No,Yes,1,1-5,Sometimes,1.0,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,0.0,2014,Sometimes,Sometimes,North America
39,m,No,No,0,1-5,Sometimes,1.0,No,Yes,No,No,Yes,Don't know,No,No,No,No,No,No,No,0.0,2014,Never,Never,North America
42,f,No,Yes,1,100-500,Never,1.0,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,0.0,2014,Sometimes,Sometimes,North America
23,m,No,No,0,26-100,Never,1.0,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,0.0,2014,Never,Never,North America
31,m,No,No,1,6-25,Sometimes,1.0,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,0.0,2014,Sometimes,Sometimes,North America
29,m,No,No,0,100-500,Sometimes,1.0,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,0.0,2014,Never,Never,Europe
42,f,No,Yes,1,26-100,Never,0.0,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,1.0,2014,Sometimes,Sometimes,North America
36,m,No,Yes,0,500-1000,Never,1.0,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,0.0,2014,Never,Never,North America
27,m,No,No,0,6-25,Never,1.0,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,0.0,2014,Never,Never,North America
29,f,No,Yes,1,26-100,Never,1.0,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,0.0,2014,Rarely,Rarely,North America
23,m,No,No,1,26-100,Sometimes,1.0,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,0.0,2014,Sometimes,Sometimes,Europe
32,m,No,No,1,6-25,Never,1.0,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,No,0.0,2014,Sometimes,Sometimes,North America
46,m,Yes,Yes,0,1-5,Sometimes,1.0,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,1.0,2014,Sometimes,Sometimes,North America
36,m,Yes,Yes,0,6-25,Sometimes,1.0,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,0.0,2014,Not applicable to me,Not applicable to me,Europe
29,m,No,Yes,1,100-500,Never,1.0,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,0.0,2014,Sometimes,Sometimes,North America
31,m,Yes,No,0,1-5,Sometimes,1.0,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,0.0,2014,Never,Never,North America
46,m,No,No,1,26-100,Sometimes,1.0,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,0.0,2014,Often,Often,North America
41,m,No,No,1,More than 1000,Never,0.0,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Yes,Don't know,0.0,2014,Never,Never,North America
33,m,No,Yes,1,26-100,Never,1.0,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,Yes,Yes,No,Yes,Don't know,0.0,2014,Rarely,Rarely,North America
35,m,No,Yes,1,More than 1000,Never,0.0,Yes,Yes,No,Don't know,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,0.0,2014,Sometimes,Sometimes,North America
33,m,No,No,0,1-5,Never,1.0,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,0.0,2014,Not applicable to me,Not applicable to me,North America
35,f,No,Yes,1,6-25,Sometimes,1.0,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,0.0,2014,Rarely,Rarely,North America
34,m,No,No,1,26-100,Sometimes,1.0,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,No,0.0,2014,Sometimes,Sometimes,North America
37,m,No,No,0,6-25,Never,1.0,No,No,No,No,Don't know,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,0.0,2014,Sometimes,Sometimes,Europe
