Clusters (3);Country;Latitud (generado);Longitud (generado);Prom. Total cases (percent)
Cluster 3;Zimbabwe;-19,098;30,047;10,596444444
Cluster 3;Zambia;-15,13;25,268;10,651407407
Cluster 3;Yemen;15,569;47,793;12,762333333
Cluster 3;Western Sub-Saharan Africa;;;10,798666667
Cluster 3;Vietnam;21,75;105,373;11,675296296
Cluster 3;Venezuela;6,983;-64,588;11,345629630
Cluster 3;Vanuatu;-15,339;166,89;10,413222222
Cluster 3;Uzbekistan;41,757;63,958;10,984296296
Cluster 3;Uganda;1,9392;32,7415;12,421703704
Cluster 3;Turkmenistan;39,584;59,597;11,362407407
Cluster 3;Tonga;-21,167;-175,19;10,445111111
Cluster 3;Togo;7,7;1,106;10,591814815
Cluster 3;Timor-Leste;-8,856;125,556;10,414296296
Cluster 3;Tanzania;-5,651;34,146;11,011259259
Cluster 3;Tajikistan;38,367;72,597;9,926
Cluster 3;Swaziland;-26,5203;31,4607;12,418148148
Cluster 3;Sub-Saharan Africa;;;11,443444444
Cluster 3;Southeast Asia;;;11,218444444
Cluster 3;South Sudan;7,1;30,48;10,800481481
Cluster 3;Somalia;2,875;43,446;11,489703704
Cluster 3;Solomon Islands;-9,5987;160,1487;10,085925926
Cluster 3;Sierra Leone;8,677;-11,779;10,616370370
Cluster 3;Seychelles;-4,6841;55,4924;12,280703704
Cluster 3;Senegal;15,044;-15,081;10,068592593
Cluster 3;Sao Tome and Principe;0,216;6,595;9,827370370
Cluster 3;Samoa;-13,6221;-172,439;10,539851852
Cluster 3;Rwanda;-1,887;29,904;12,492444444
Cluster 3;Philippines;17,181;121,256;10,364333333
Cluster 3;Peru;-12,664;-72,98;11,966962963
Cluster 3;Papua New Guinea;-5,636;142,798;10,421740741
Cluster 3;Panama;8,348;-81,005;11,505592593
Cluster 3;Pakistan;28,1854;66,6429;12,124592593
Cluster 3;Oceania;;;10,748111111
Cluster 3;Northern Mariana Islands;15,1905;145,7471;12,263740741
Cluster 3;North Korea;39,767;126,389;12,407666667
Cluster 3;Nigeria;9,3417;7,678;11,336222222
Cluster 3;Niger;16,996;9,915;9,714740741
Cluster 3;Nicaragua;12,692;-85,03;11,248444444
Cluster 3;Nepal;28,2114;83,5608;11,955111111
Cluster 3;Namibia;-21,276;17,219;12,405407407
Cluster 3;Myanmar;21,841;96,05;9,952851852
Cluster 3;Mozambique;-13,852;38,042;11,226
Cluster 3;Mexico;22,925;-101,68;11,429037037
Cluster 3;Mauritania;19,413;-10,6528;10,214
Cluster 3;Marshall Islands;5,961;169,651;10,430148148
Cluster 3;Mali;18,211;-2,209;9,136111111
Cluster 3;Maldives;4,221;73,463;11,676629630
Cluster 3;Malaysia;4,416;102,099;12,761777778
Cluster 3;Malawi;-13,2731;33,7428;10,300777778
Cluster 3;Madagascar;-19,615;46,645;11,095518519
Cluster 3;Macedonia;41,636;21,676;12,714296296
Cluster 3;Low-middle SDI;;;12,674851852
Cluster 3;Low SDI;;;11,316444444
Cluster 3;Liberia;6,51;-9,33;10,760111111
Cluster 3;Laos;19,595;102,538;10,225037037
Cluster 3;Kyrgyzstan;41,741;75,043;12,677851852
Cluster 3;Kiribati;2,048;-158,59;10,929740741
Cluster 3;Kenya;0,806;38,166;10,644074074
Cluster 3;Indonesia;-0,739;114,045;10,648851852
Cluster 3;India;22,741;78,236;12,651703704
Cluster 3;Honduras;14,881;-87,123;10,093407407
Cluster 3;Haiti;19,3175;-72,4205;12,558185185
Cluster 3;Guinea-Bissau;12,191;-14,475;10,819481481
Cluster 3;Guinea;10,599;-10,907;10,573111111
Cluster 3;Guatemala;15,124;-90,711;12,044222222
Cluster 3;Ghana;7,258;-1,062;10,789148148
Cluster 3;Georgia;42,05;43,576;13,045814815
Cluster 3;Gambia;13,499;-14,641;10,816444444
Cluster 3;Fiji;-17,7941;177,9783;11,952962963
Cluster 3;Federated States of Micronesia;7,531;150,457;10,799
Cluster 3;Ethiopia;8,435;38,786;12,172740741
Cluster 3;Eritrea;15,982;38,02;11,291037037
Cluster 3;El Salvador;13,848;-89,229;13,016666667
Cluster 3;Egypt;26,16;28,742;12,989518519
Cluster 3;Eastern Sub-Saharan Africa;;;11,451
Cluster 3;Djibouti;11,41;42,165;11,381555556
Cluster 3;Democratic Republic of the Congo;-1,418;23,607;11,614111111
Cluster 3;Cote d'Ivoire;7,497;-5,336;10,284185185
Cluster 3;Costa Rica;10,126;-84,075;12,099
Cluster 3;Congo;0,509;16,08;12,630888889
Cluster 3;Comoros;-11,6527;43,3307;10,922370370
Cluster 3;Colombia;3,794;-73,606;11,059740741
Cluster 3;Chad;15,981;18,781;10,489074074
Cluster 3;Central Sub-Saharan Africa;;;11,769222222
Cluster 3;Central Latin America;;;11,393962963
Cluster 3;Central Asia;;;12,109296296
Cluster 3;Central African Republic;7,043;21,424;12,848814815
Cluster 3;Cape Verde;15,416;-23,36;12,387296296
Cluster 3;Cameroon;4,4;12,131;10,808185185
Cluster 3;Cambodia;12,69;104,444;10,710407407
Cluster 3;Burundi;-3,333;29,749;11,294037037
Cluster 3;Burkina Faso;12,673;-1,226;9,972111111
Cluster 3;Bolivia;-16,71;-65,183;13,071407407
Cluster 3;Bhutan;27,5342;90,3002;12,482555556
Cluster 3;Benin;10,478;2,274;10,524666667
Cluster 3;Belize;17,108;-88,744;12,692259259
Cluster 3;Azerbaijan;40,46;47,883;12,129074074
