Entity,Code,Year,Prevalence (share of population),DALYs (rate)
Anxiety disorders,,1990,3.7915852,360.547
Anxiety disorders,,1991,3.785868,360.0782
Anxiety disorders,,1992,3.7802868,359.61197
Anxiety disorders,,1993,3.7749865,359.19098
Anxiety disorders,,1994,3.769841,358.75433
Anxiety disorders,,1995,3.7649138,358.33615
Anxiety disorders,,1996,3.7699318,358.82996
Anxiety disorders,,1997,3.7890153,360.659
Anxiety disorders,,1998,3.813583,363.01666
Anxiety disorders,,1999,3.8352203,365.06494
Anxiety disorders,,2000,3.8455474,366.05154
Anxiety disorders,,2001,3.8401377,365.54736
Anxiety disorders,,2002,3.8242059,364.0752
Anxiety disorders,,2003,3.8037925,362.1512
Anxiety disorders,,2004,3.78499,360.4087
Anxiety disorders,,2005,3.773679,359.3846
Anxiety disorders,,2006,3.7754478,359.61206
Anxiety disorders,,2007,3.7876673,360.87418
Anxiety disorders,,2008,3.80403,362.5424
Anxiety disorders,,2009,3.8178456,363.94333
Anxiety disorders,,2010,3.821852,364.3693
Anxiety disorders,,2011,3.811399,363.40784
Anxiety disorders,,2012,3.7912302,361.54077
Anxiety disorders,,2013,3.7687528,359.4633
Anxiety disorders,,2014,3.7512484,357.8269
Anxiety disorders,,2015,3.7458007,357.30002
Anxiety disorders,,2016,3.7599669,358.62128
Anxiety disorders,,2017,3.7748022,359.96918
Anxiety disorders,,2018,3.7786238,360.2143
Anxiety disorders,,2019,3.779522,360.12097
Bipolar disorder,,1990,0.49008313,105.04815
Bipolar disorder,,1991,0.4896426,104.973045
Bipolar disorder,,1992,0.48932484,104.930626
Bipolar disorder,,1993,0.489048,104.89711
Bipolar disorder,,1994,0.48877683,104.86058
Bipolar disorder,,1995,0.48856828,104.83066
Bipolar disorder,,1996,0.48831466,104.78874
Bipolar disorder,,1997,0.48803732,104.73967
Bipolar disorder,,1998,0.48771212,104.68394
Bipolar disorder,,1999,0.48734614,104.611786
Bipolar disorder,,2000,0.4870348,104.55496
Bipolar disorder,,2001,0.4869052,104.5403
Bipolar disorder,,2002,0.48707926,104.57687
Bipolar disorder,,2003,0.4873679,104.6643
Bipolar disorder,,2004,0.48761976,104.7379
Bipolar disorder,,2005,0.48770896,104.77021
Bipolar disorder,,2006,0.48758087,104.772514
Bipolar disorder,,2007,0.48746112,104.78478
Bipolar disorder,,2008,0.487444,104.811066
Bipolar disorder,,2009,0.48751542,104.87115
Bipolar disorder,,2010,0.48762587,104.928894
Bipolar disorder,,2011,0.48776188,104.96599
Bipolar disorder,,2012,0.48793262,105.00541
Bipolar disorder,,2013,0.48812687,105.06727
Bipolar disorder,,2014,0.48834854,105.123795
Bipolar disorder,,2015,0.4886118,105.18185
Bipolar disorder,,2016,0.48887303,105.228455
Bipolar disorder,,2017,0.48914567,105.284805
Bipolar disorder,,2018,0.48944956,105.346565
Bipolar disorder,,2019,0.4898171,105.43025
Depressive disorders,,1990,3.486165,588.56586
Depressive disorders,,1991,3.5208344,595.8673
Depressive disorders,,1992,3.5501535,602.1072
Depressive disorders,,1993,3.5731866,606.995
Depressive disorders,,1994,3.5891857,610.347
Depressive disorders,,1995,3.5966735,611.88745
Depressive disorders,,1996,3.5964515,611.8368
Depressive disorders,,1997,3.5908835,610.8581
Depressive disorders,,1998,3.5828843,609.4454
Depressive disorders,,1999,3.5755708,608.07623
Depressive disorders,,2000,3.5714743,607.2292
Depressive disorders,,2001,3.5726268,607.31744
Depressive disorders,,2002,3.576409,607.9738
Depressive disorders,,2003,3.5810776,608.81934
Depressive disorders,,2004,3.58459,609.4108
Depressive disorders,,2005,3.5843492,609.2116
Depressive disorders,,2006,3.5651162,604.99817
Depressive disorders,,2007,3.5223153,595.88116
Depressive disorders,,2008,3.4718347,585.1803
Depressive disorders,,2009,3.4294875,576.1997
Depressive disorders,,2010,3.4102738,572.11774
Depressive disorders,,2011,3.4099221,571.99426
Depressive disorders,,2012,3.4120119,572.4321
Depressive disorders,,2013,3.4156337,573.1966
Depressive disorders,,2014,3.4204633,574.1674
Depressive disorders,,2015,3.4255397,575.1163
Depressive disorders,,2016,3.4293563,575.6663
Depressive disorders,,2017,3.4333224,576.2325
Depressive disorders,,2018,3.43748,577.0205
Depressive disorders,,2019,3.4400527,577.74695
Eating disorders,,1990,0.15053226,32.154877
Eating disorders,,1991,0.15092015,32.240498
Eating disorders,,1992,0.15124461,32.318398
Eating disorders,,1993,0.15140574,32.36504
Eating disorders,,1994,0.15142713,32.38058
Eating disorders,,1995,0.15127873,32.354492
Eating disorders,,1996,0.1511088,32.32246
Eating disorders,,1997,0.15092593,32.292374
Eating disorders,,1998,0.1507919,32.26759
Eating disorders,,1999,0.15082613,32.280094
Eating disorders,,2000,0.1509406,32.305298
Eating disorders,,2001,0.15141876,32.409294
Eating disorders,,2002,0.15222281,32.582226
Eating disorders,,2003,0.15322176,32.797268
Eating disorders,,2004,0.1542961,33.02615
Eating disorders,,2005,0.15532674,33.244057
Eating disorders,,2006,0.15643151,33.481426
Eating disorders,,2007,0.15788984,33.79751
Eating disorders,,2008,0.15949497,34.14729
Eating disorders,,2009,0.1610854,34.48872
Eating disorders,,2010,0.16249368,34.79182
Eating disorders,,2011,0.16367842,35.039917
Eating disorders,,2012,0.1647413,35.266777
Eating disorders,,2013,0.16578408,35.486176
Eating disorders,,2014,0.16697127,35.73571
Eating disorders,,2015,0.1683489,36.024193
Eating disorders,,2016,0.17063996,36.500103
Eating disorders,,2017,0.17255633,36.898468
Eating disorders,,2018,0.173436,37.082497
Eating disorders,,2019,0.17395177,37.189297
Schizophrenia,,1990,0.2899184,185.18529
Schizophrenia,,1991,0.29003072,185.3143
Schizophrenia,,1992,0.29009753,185.41089
Schizophrenia,,1993,0.29010698,185.45767
Schizophrenia,,1994,0.2900472,185.47935
Schizophrenia,,1995,0.2899109,185.42226
Schizophrenia,,1996,0.2896729,185.3029
Schizophrenia,,1997,0.28938755,185.13222
Schizophrenia,,1998,0.28909516,184.97702
Schizophrenia,,1999,0.2888331,184.84819
Schizophrenia,,2000,0.28863811,184.71754
Schizophrenia,,2001,0.2885537,184.68338
Schizophrenia,,2002,0.2885798,184.76836
Schizophrenia,,2003,0.2886505,184.82095
Schizophrenia,,2004,0.28870344,184.89145
Schizophrenia,,2005,0.2886748,184.88914
Schizophrenia,,2006,0.28862995,184.91447
Schizophrenia,,2007,0.28864112,185.00061
Schizophrenia,,2008,0.28865305,185.10773
Schizophrenia,,2009,0.28862357,185.1418
Schizophrenia,,2010,0.2885186,185.09683
Schizophrenia,,2011,0.28840616,185.0356
Schizophrenia,,2012,0.28834462,184.95872
Schizophrenia,,2013,0.2882915,184.9032
Schizophrenia,,2014,0.28820476,184.8312
Schizophrenia,,2015,0.28803006,184.68431
Schizophrenia,,2016,0.28846613,184.94211
Schizophrenia,,2017,0.28885987,185.16676
Schizophrenia,,2018,0.2883245,184.76164
Schizophrenia,,2019,0.28740895,184.14943
