Entity,Code,Year,Stand-alone policy or plan for mental health
Afghanistan,AFG,2014,Yes
Afghanistan,AFG,2016,Yes
Albania,ALB,2014,Yes
Albania,ALB,2016,Yes
Algeria,DZA,2014,Yes
Algeria,DZA,2016,No
Angola,AGO,2016,No
Antigua and Barbuda,ATG,2016,Yes
Argentina,ARG,2014,Yes
Argentina,ARG,2016,Yes
Armenia,ARM,2014,Yes
Armenia,ARM,2016,Yes
Australia,AUS,2014,Yes
Australia,AUS,2015,Yes
Austria,AUT,2014,Yes
Austria,AUT,2015,No
Azerbaijan,AZE,2014,Yes
Azerbaijan,AZE,2016,Yes
Bahamas,BHS,2015,Yes
Bahrain,BHR,2014,No
Bahrain,BHR,2017,Yes
Bangladesh,BGD,2014,Yes
Bangladesh,BGD,2016,No
Barbados,BRB,2014,Yes
Barbados,BRB,2015,Yes
Belarus,BLR,2014,No
Belarus,BLR,2016,Yes
Belgium,BEL,2013,Yes
Belgium,BEL,2014,Yes
Belize,BLZ,2014,Yes
Belize,BLZ,2016,Yes
Benin,BEN,2014,Yes
Bhutan,BTN,2014,No
Bhutan,BTN,2016,Yes
Bolivia,BOL,2014,No
Bolivia,BOL,2016,Yes
Bosnia and Herzegovina,BIH,2014,Yes
Bosnia and Herzegovina,BIH,2015,Yes
Botswana,BWA,2014,Yes
Botswana,BWA,2017,Yes
Brazil,BRA,2014,Yes
Brazil,BRA,2016,Yes
Brunei,BRN,2014,Yes
Brunei,BRN,2016,No
Bulgaria,BGR,2014,Yes
Bulgaria,BGR,2016,No
Burkina Faso,BFA,2014,Yes
Burkina Faso,BFA,2016,Yes
Burundi,BDI,2014,Yes
Burundi,BDI,2017,Yes
Cambodia,KHM,2014,Yes
Cambodia,KHM,2016,Yes
Cameroon,CMR,2017,Yes
Canada,CAN,2014,Yes
Canada,CAN,2017,Yes
Cape Verde,CPV,2017,Yes
Central African Republic,CAF,2014,Yes
Central African Republic,CAF,2017,Yes
Chad,TCD,2016,Yes
Chile,CHL,2014,Yes
Chile,CHL,2016,Yes
China,CHN,2014,Yes
China,CHN,2015,Yes
Colombia,COL,2014,Yes
Colombia,COL,2016,Yes
Comoros,COM,2017,No
Congo,COG,2014,No
Congo,COG,2016,Yes
Cook Islands,COK,2014,Yes
Cook Islands,COK,2016,Yes
Costa Rica,CRI,2014,Yes
Costa Rica,CRI,2016,Yes
Cote d'Ivoire,CIV,2014,Yes
Cote d'Ivoire,CIV,2016,Yes
Croatia,HRV,2014,Yes
Croatia,HRV,2016,Yes
Cuba,CUB,2014,No
Cuba,CUB,2016,No
Cyprus,CYP,2014,Yes
Cyprus,CYP,2015,Yes
Czechia,CZE,2014,Yes
Czechia,CZE,2015,Yes
Democratic Republic of Congo,COD,2014,Yes
Denmark,DNK,2014,Yes
Denmark,DNK,2016,Yes
Djibouti,DJI,2014,No
Dominica,DMA,2014,No
Dominican Republic,DOM,2014,Yes
Dominican Republic,DOM,2016,Yes
East Timor,TLS,2014,Yes
East Timor,TLS,2016,Yes
Ecuador,ECU,2014,Yes
Ecuador,ECU,2016,Yes
Egypt,EGY,2014,No
Egypt,EGY,2016,Yes
El Salvador,SLV,2014,Yes
El Salvador,SLV,2016,Yes
Equatorial Guinea,GNQ,2017,Yes
Eritrea,ERI,2014,Yes
Eritrea,ERI,2016,Yes
Estonia,EST,2014,No
Estonia,EST,2016,Yes
Eswatini,SWZ,2014,No
Eswatini,SWZ,2017,No
Ethiopia,ETH,2014,Yes
Ethiopia,ETH,2017,No
Fiji,FJI,2014,Yes
Fiji,FJI,2016,Yes
Finland,FIN,2014,Yes
Finland,FIN,2017,No
France,FRA,2014,Yes
France,FRA,2017,Yes
Gabon,GAB,2016,Yes
Gambia,GMB,2014,Yes
Gambia,GMB,2016,Yes
Georgia,GEO,2014,Yes
Georgia,GEO,2016,Yes
Germany,DEU,2014,No
Germany,DEU,2015,Yes
Ghana,GHA,2014,Yes
Ghana,GHA,2016,Yes
Greece,GRC,2014,Yes
Greece,GRC,2016,Yes
Grenada,GRD,2014,Yes
Grenada,GRD,2016,No
Guatemala,GTM,2014,Yes
Guinea,GIN,2014,Yes
Guinea,GIN,2016,Yes
Guinea-Bissau,GNB,2016,No
Guyana,GUY,2014,Yes
Guyana,GUY,2016,Yes
Haiti,HTI,2014,No
Haiti,HTI,2016,Yes
Honduras,HND,2014,Yes
Hungary,HUN,2014,No
Hungary,HUN,2016,No
Iceland,ISL,2014,No
Iceland,ISL,2016,Yes
India,IND,2014,Yes
India,IND,2016,Yes
Indonesia,IDN,2014,Yes
Indonesia,IDN,2016,Yes
Iran,IRN,2014,Yes
Iran,IRN,2017,Yes
Iraq,IRQ,2014,Yes
Iraq,IRQ,2017,Yes
Ireland,IRL,2016,Yes
Israel,ISR,2014,Yes
Israel,ISR,2016,Yes
Italy,ITA,2014,Yes
Italy,ITA,2015,Yes
Jamaica,JAM,2014,Yes
Jamaica,JAM,2015,Yes
Japan,JPN,2014,Yes
Japan,JPN,2016,Yes
Jordan,JOR,2014,Yes
Jordan,JOR,2016,Yes
Kenya,KEN,2014,No
Kenya,KEN,2016,Yes
Kiribati,KIR,2014,Yes
Kiribati,KIR,2015,Yes
Kuwait,KWT,2014,No
Kyrgyzstan,KGZ,2014,Yes
Kyrgyzstan,KGZ,2016,Yes
Laos,LAO,2014,Yes
Latvia,LVA,2014,Yes
